Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1e0vsza0hIVYv9Mkz542qn,"Fable","Fable","Gigi Perez",2024-10-25,261005,73,false,menisadi,2025-12-15T20:17:44Z,"","Gigi Perez PS/ Island",0.324,0.3,10,-9.949,1,0.0295,0.417,0,0.0864,0.138,101.621,4
spotify:track:0bPSRn4crnh5f1JhELPlyL,"I Know A Place","About U","MUNA",2017-02-03,272806,52,false,menisadi,2025-12-15T20:17:44Z,"","RCA Records Label",0.685,0.9,5,-4.626,0,0.151,0.137,0,0.2,0.779,111.991,4
spotify:track:4wO2JlPZw72Xlu6dGUW4Ce,"Pushing It Down and Praying","Pushing It Down and Praying","Lizzy McAlpine",2024-09-20,234076,74,false,menisadi,2025-12-15T20:17:44Z,"","Indigo Blue/RCA Records",0.409,0.251,6,-10.294,1,0.0355,0.797,0.0000105,0.112,0.177,130.391,4
spotify:track:2HbDLvUR0SA1o9BDMAqqNM,"Ketchum, ID","boygenius","boygenius;Julien Baker;Phoebe Bridgers;Lucy Dacus",2018-10-26,215689,53,false,menisadi,2025-12-15T20:17:44Z,"ambient folk","Matador",0.393,0.104,0,-12.154,1,0.0339,0.908,0,0.389,0.214,117.851,3
spotify:track:4iZxeyibg6w4EFCOoAQ6Eh,"What You Know","Tourist History","Two Door Cinema Club",2010-02-17,191400,76,false,menisadi,2025-12-15T20:17:44Z,"indie,indie rock","Glassnote - VMG",0.556,0.763,6,-3.952,0,0.0413,0.000728,0.00000679,0.071,0.814,138.984,4
spotify:track:7qH9Z4dJEN0l9bidizW7fq,"Anchor","Bathing Beach","Novo Amor",2017-05-26,257533,81,false,menisadi,2025-12-15T20:17:44Z,"ambient folk","AllPoints",0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,4
spotify:track:0vPAplC4nNHPeRl5TcRL47,"El Invento","Local Valley","José González",2021-09-17,153413,55,false,menisadi,2025-12-15T20:17:44Z,"indie folk","City Slang",0.576,0.37,9,-11.581,1,0.0382,0.949,0.0719,0.104,0.38,79.184,4
spotify:track:4Ozk6GESL4KkJ0C1yXgDLf,"Fuck Me Eyes","Willoughby Tucker, I'll Always Love You","Ethel Cain",2025-08-08,364800,66,true,menisadi,2025-12-15T20:17:44Z,"southern gothic","Daughters of Cain Records",0.191,0.691,7,-6.848,1,0.0382,0.00159,0.000274,0.107,0.0625,100.228,4
spotify:track:7bzzC7QIfflM9eEj2aqaYX,"Blue Ridge Mountains","Fleet Foxes","Fleet Foxes",2008-06-03,265773,64,false,menisadi,2025-12-15T20:17:44Z,"indie folk,folk,indie","Sub Pop Records",0.533,0.426,8,-8.505,0,0.0273,0.708,0.000488,0.101,0.274,97.905,4
spotify:track:24ntSW3QVJzR79lHAAOTaY,"Texas Sun","Texas Sun","Khruangbin;Leon Bridges",2020-02-07,252811,76,false,menisadi,2025-12-15T20:17:44Z,"neo-psychedelic,retro soul","Dead Oceans",0.636,0.634,7,-10.01,1,0.0342,0.0364,0.147,0.0998,0.599,111.563,4
